Processing Time for 2022/04/01/0000H:  1.218935489654541 seconds
Processing Time for 2022/09/08/0100H:  0.2816026210784912 seconds
Processing Time for 2022/09/08/0200H:  0.7779934406280518 seconds
Processing Time for 2022/09/08/0300H:  0.7084131240844727 seconds
Processing Time for 2022/09/08/0400H:  0.5447092056274414 seconds
Processing Time for 2022/09/08/0500H:  3.482722759246826 seconds
Processing Time for 2022/09/08/0600H:  6.617571115493774 seconds
Processing Time for 2022/09/08/0700H:  15.528918743133545 seconds
Processing Time for 2022/09/08/0800H:  7.829822063446045 seconds
Processing Time for 2022/09/08/0900H:  20.02011728286743 seconds
Processing Time for 2022/09/08/1000H:  18.7630352973938 seconds
Processing Time for 2022/09/08/1100H:  6.109257221221924 seconds
Processing Time for 2022/09/08/1200H:  12.214870691299438 seconds
Processing Time for 2022/09/08/1300H:  2.4084765911102295 seconds
Processing Time for 2022/09/08/1400H:  10.1193687915802 seconds
Processing Time for 2022/09/08/1500H:  5.496968507766724 seconds
Processing Time for 2022/09/08/1600H:  9.50138258934021 seconds
Processing Time for 2022/09/08/1700H:  4.956521034240723 seconds
Processing Time for 2022/09/08/1800H:  12.917579650878906 seconds
Processing Time for 2022/09/08/1900H:  10.702807426452637 seconds
Processing Time for 2022/09/08/2000H:  12.932665824890137 seconds
Processing Time for 2022/09/08/2100H:  4.904928922653198 seconds
Processing Time for 2022/09/08/2200H:  3.3803703784942627 seconds
Processing Time for 2022/09/08/2300H:  0.997051477432251 seconds
Processing Time for 2022/09/09/0000H:  1.2805814743041992 seconds
Processing Time for 2022/09/09/0100H:  0.8241462707519531 seconds
Processing Time for 2022/09/09/0200H:  0.6185019016265869 seconds
Processing Time for 2022/09/09/0300H:  0.28593993186950684 seconds
Processing Time for 2022/09/09/0400H:  0.7532923221588135 seconds
Processing Time for 2022/09/09/0500H:  2.7398178577423096 seconds
Processing Time for 2022/09/09/0600H:  4.810749053955078 seconds
Processing Time for 2022/09/09/0700H:  8.939895391464233 seconds
Processing Time for 2022/09/09/0800H:  4.7328455448150635 seconds
Processing Time for 2022/09/09/0900H:  20.79691195487976 seconds
Processing Time for 2022/09/09/1000H:  20.75915265083313 seconds
Processing Time for 2022/09/09/1100H:  14.153212070465088 seconds
Processing Time for 2022/09/09/1200H:  23.64688515663147 seconds
Processing Time for 2022/09/09/1300H:  3.230966567993164 seconds
Processing Time for 2022/09/09/1400H:  17.372565269470215 seconds
Processing Time for 2022/09/09/1500H:  11.689270734786987 seconds
Processing Time for 2022/09/09/1600H:  16.30941081047058 seconds
Processing Time for 2022/09/09/1700H:  11.819600820541382 seconds
Processing Time for 2022/09/09/1800H:  20.67434597015381 seconds
Processing Time for 2022/09/09/1900H:  17.231170415878296 seconds
Processing Time for 2022/09/09/2000H:  10.83156967163086 seconds
Processing Time for 2022/09/09/2100H:  5.03200626373291 seconds
Processing Time for 2022/09/09/2200H:  2.409712553024292 seconds
Processing Time for 2022/09/09/2300H:  0.7322313785552979 seconds
Processing Time for 2022/09/10/0000H:  0.5018808841705322 seconds
Processing Time for 2022/09/10/0100H:  0.4437837600708008 seconds
Processing Time for 2022/09/10/0200H:  0.5089969635009766 seconds
Processing Time for 2022/09/10/0300H:  0.20460915565490723 seconds
Processing Time for 2022/09/10/0400H:  0.2858617305755615 seconds
Processing Time for 2022/09/10/0500H:  1.8540596961975098 seconds
Processing Time for 2022/09/10/0600H:  3.820956230163574 seconds
Processing Time for 2022/09/10/0700H:  8.261001348495483 seconds
Processing Time for 2022/09/10/0800H:  4.511544704437256 seconds
Processing Time for 2022/09/10/0900H:  12.698797702789307 seconds
Processing Time for 2022/09/10/1000H:  13.271430253982544 seconds
Processing Time for 2022/09/10/1100H:  7.358871221542358 seconds
Processing Time for 2022/09/10/1200H:  12.21742296218872 seconds
Processing Time for 2022/09/10/1300H:  1.7108416557312012 seconds
Processing Time for 2022/09/10/1400H:  9.925149917602539 seconds
Processing Time for 2022/09/10/1500H:  5.311009883880615 seconds
Processing Time for 2022/09/10/1600H:  8.434275388717651 seconds
Processing Time for 2022/09/10/1700H:  4.243465185165405 seconds
Processing Time for 2022/09/10/1800H:  13.37733769416809 seconds
Processing Time for 2022/09/10/1900H:  18.770448446273804 seconds
Processing Time for 2022/09/10/2000H:  17.581176042556763 seconds
Processing Time for 2022/09/10/2100H:  7.294739246368408 seconds
Processing Time for 2022/09/10/2200H:  4.488997220993042 seconds
Processing Time for 2022/09/10/2300H:  1.0369460582733154 seconds
Processing Time for 2022/09/11/0000H:  1.0664961338043213 seconds
Processing Time for 2022/09/11/0100H:  0.5450634956359863 seconds
Processing Time for 2022/09/11/0200H:  0.818317174911499 seconds
Processing Time for 2022/09/11/0300H:  0.9965524673461914 seconds
Processing Time for 2022/09/11/0400H:  1.1158814430236816 seconds
Processing Time for 2022/09/11/0500H:  3.5009334087371826 seconds
Processing Time for 2022/09/11/0600H:  5.718999862670898 seconds
Processing Time for 2022/09/11/0700H:  12.00731110572815 seconds
Processing Time for 2022/09/11/0800H:  7.892442464828491 seconds
Processing Time for 2022/09/11/0900H:  21.09871196746826 seconds
Processing Time for 2022/09/11/1000H:  21.301355838775635 seconds
Processing Time for 2022/09/11/1100H:  12.882912874221802 seconds
Processing Time for 2022/09/11/1200H:  21.157433032989502 seconds
Processing Time for 2022/09/11/1300H:  5.805253982543945 seconds
Processing Time for 2022/09/11/1400H:  13.344517707824707 seconds
Processing Time for 2022/09/11/1500H:  8.680774688720703 seconds
Processing Time for 2022/09/11/1600H:  11.102020978927612 seconds
Processing Time for 2022/09/11/1700H:  7.206340312957764 seconds
Processing Time for 2022/09/11/1800H:  14.149864196777344 seconds
Processing Time for 2022/09/11/1900H:  12.358053207397461 seconds
Processing Time for 2022/09/11/2000H:  11.045237064361572 seconds
Processing Time for 2022/09/11/2100H:  5.130579710006714 seconds
Processing Time for 2022/09/11/2200H:  2.7038376331329346 seconds
Processing Time for 2022/09/11/2300H:  1.3419275283813477 seconds
Processing Time for 2022/09/12/0000H:  1.2496652603149414 seconds
Processing Time for 2022/09/12/0100H:  0.6344518661499023 seconds
Processing Time for 2022/09/12/0200H:  0.5004949569702148 seconds
Processing Time for 2022/09/12/0300H:  0.14754819869995117 seconds
Processing Time for 2022/09/12/0400H:  0.2779715061187744 seconds
Processing Time for 2022/09/12/0500H:  1.791736364364624 seconds
Processing Time for 2022/09/12/0600H:  3.659057855606079 seconds
Processing Time for 2022/09/12/0700H:  7.78562068939209 seconds
Processing Time for 2022/09/12/0800H:  4.5743467807769775 seconds
Processing Time for 2022/09/12/0900H:  13.012507915496826 seconds
Processing Time for 2022/09/12/1000H:  14.455998182296753 seconds
Processing Time for 2022/09/12/1100H:  12.443541049957275 seconds
Processing Time for 2022/09/12/1200H:  21.645445585250854 seconds
Processing Time for 2022/09/12/1300H:  3.747492790222168 seconds
Processing Time for 2022/09/12/1400H:  16.777372360229492 seconds
Processing Time for 2022/09/12/1500H:  10.1373131275177 seconds
Processing Time for 2022/09/12/1600H:  14.659574031829834 seconds
Processing Time for 2022/09/12/1700H:  8.717422485351562 seconds
Processing Time for 2022/09/12/1800H:  21.24791669845581 seconds
Processing Time for 2022/09/12/1900H:  18.914855241775513 seconds
Processing Time for 2022/09/12/2000H:  16.51715588569641 seconds
Processing Time for 2022/09/12/2100H:  8.166293621063232 seconds
Processing Time for 2022/09/12/2200H:  5.412822723388672 seconds
Processing Time for 2022/09/12/2300H:  1.160271406173706 seconds
Processing Time for 2022/09/13/0000H:  1.020447015762329 seconds
Processing Time for 2022/09/13/0100H:  0.5156259536743164 seconds
Processing Time for 2022/09/13/0200H:  1.018404483795166 seconds
Processing Time for 2022/09/13/0300H:  0.26590609550476074 seconds
Processing Time for 2022/09/13/0400H:  0.5617685317993164 seconds
Processing Time for 2022/09/13/0500H:  3.3405866622924805 seconds
Processing Time for 2022/09/13/0600H:  5.925171136856079 seconds
Processing Time for 2022/09/13/0700H:  8.42171025276184 seconds
Processing Time for 2022/09/13/0800H:  4.661818981170654 seconds
Processing Time for 2022/09/13/0900H:  12.382638692855835 seconds
Processing Time for 2022/09/13/1000H:  11.889843463897705 seconds
Processing Time for 2022/09/13/1100H:  5.858959674835205 seconds
Processing Time for 2022/09/13/1200H:  11.664665222167969 seconds
Processing Time for 2022/09/13/1300H:  2.1133339405059814 seconds
Processing Time for 2022/09/13/1400H:  10.342179775238037 seconds
Processing Time for 2022/09/13/1500H:  6.150643825531006 seconds
Processing Time for 2022/09/13/1600H:  9.094026565551758 seconds
Processing Time for 2022/09/13/1700H:  5.27905011177063 seconds
Processing Time for 2022/09/13/1800H:  12.365113735198975 seconds
Processing Time for 2022/09/13/1900H:  11.73377275466919 seconds
Processing Time for 2022/09/13/2000H:  11.50100827217102 seconds
Processing Time for 2022/09/13/2100H:  7.034789562225342 seconds
Processing Time for 2022/09/13/2200H:  4.5938355922698975 seconds
Processing Time for 2022/09/13/2300H:  1.2057714462280273 seconds
Processing Time for 2022/09/14/0000H:  0.7163567543029785 seconds
Processing Time for 2022/09/14/0100H:  0.3041999340057373 seconds
Processing Time for 2022/09/14/0200H:  1.0093536376953125 seconds
Processing Time for 2022/09/14/0300H:  0.2647867202758789 seconds
Processing Time for 2022/09/14/0400H:  0.456897497177124 seconds
Processing Time for 2022/09/14/0500H:  3.1944894790649414 seconds
Processing Time for 2022/09/14/0600H:  7.455002307891846 seconds
Processing Time for 2022/09/14/0700H:  14.494450807571411 seconds
Processing Time for 2022/09/14/0800H:  8.022185802459717 seconds
Processing Time for 2022/09/14/0900H:  20.729293823242188 seconds
Processing Time for 2022/09/14/1000H:  20.179493188858032 seconds
Processing Time for 2022/09/14/1100H:  12.663689136505127 seconds
Processing Time for 2022/09/14/1200H:  22.55802845954895 seconds
Processing Time for 2022/09/14/1300H:  3.0334556102752686 seconds
Processing Time for 2022/09/14/1400H:  17.64482307434082 seconds
Processing Time for 2022/09/14/1500H:  10.95140552520752 seconds
Processing Time for 2022/09/14/1600H:  15.3150954246521 seconds
Processing Time for 2022/09/14/1700H:  6.3991453647613525 seconds
Processing Time for 2022/09/14/1800H:  13.389070272445679 seconds
Processing Time for 2022/09/14/1900H:  10.556178092956543 seconds
Processing Time for 2022/09/14/2000H:  10.393714904785156 seconds
Processing Time for 2022/09/14/2100H:  5.237558603286743 seconds
Processing Time for 2022/09/14/2200H:  2.8044276237487793 seconds
Processing Time for 2022/09/14/2300H:  0.8792645931243896 seconds
Processing Time for 2022/09/15/0000H:  0.7499790191650391 seconds
Processing Time for 2022/09/15/0100H:  0.30469441413879395 seconds
Processing Time for 2022/09/15/0200H:  0.46735644340515137 seconds
Processing Time for 2022/09/15/0300H:  0.42000389099121094 seconds
Processing Time for 2022/09/15/0400H:  0.4241647720336914 seconds
Processing Time for 2022/09/15/0500H:  2.019765853881836 seconds
Processing Time for 2022/09/15/0600H:  4.015918016433716 seconds
Processing Time for 2022/09/15/0700H:  8.506417274475098 seconds
Processing Time for 2022/09/15/0800H:  4.9252026081085205 seconds
Processing Time for 2022/09/15/0900H:  12.770246982574463 seconds
Processing Time for 2022/09/15/1000H:  11.766054153442383 seconds
Processing Time for 2022/09/15/1100H:  6.471613883972168 seconds
Processing Time for 2022/09/15/1200H:  12.968693256378174 seconds
Processing Time for 2022/09/15/1300H:  2.6662063598632812 seconds
Processing Time for 2022/09/15/1400H:  10.946059226989746 seconds
Processing Time for 2022/09/15/1500H:  10.756613731384277 seconds
Processing Time for 2022/09/15/1600H:  15.017421960830688 seconds
Processing Time for 2022/09/15/1700H:  7.834046363830566 seconds
Processing Time for 2022/09/15/1800H:  22.227903127670288 seconds
Processing Time for 2022/09/15/1900H:  17.75960350036621 seconds
Processing Time for 2022/09/15/2000H:  16.302985668182373 seconds
Processing Time for 2022/09/15/2100H:  6.553121566772461 seconds
Processing Time for 2022/09/15/2200H:  4.86801815032959 seconds
Processing Time for 2022/09/15/2300H:  1.1867992877960205 seconds
Processing Time for 2022/09/16/0000H:  2.109912157058716 seconds
Processing Time for 2022/09/16/0100H:  1.3397583961486816 seconds
Processing Time for 2022/09/16/0200H:  1.2941808700561523 seconds
Processing Time for 2022/09/16/0300H:  0.32366037368774414 seconds
Processing Time for 2022/09/16/0400H:  0.8497335910797119 seconds
Processing Time for 2022/09/16/0500H:  3.8910977840423584 seconds
Processing Time for 2022/09/16/0600H:  6.24432897567749 seconds
Processing Time for 2022/09/16/0700H:  12.650916337966919 seconds
Processing Time for 2022/09/16/0800H:  8.429051637649536 seconds
Processing Time for 2022/09/16/0900H:  20.729440212249756 seconds
Processing Time for 2022/09/16/1000H:  17.98287272453308 seconds
Processing Time for 2022/09/16/1100H:  6.360644340515137 seconds
Processing Time for 2022/09/16/1200H:  13.203619241714478 seconds
Processing Time for 2022/09/16/1300H:  2.2444725036621094 seconds
Processing Time for 2022/09/16/1400H:  10.426906824111938 seconds
Processing Time for 2022/09/16/1500H:  8.567777872085571 seconds
Processing Time for 2022/09/16/1600H:  9.008809328079224 seconds
Processing Time for 2022/09/16/1700H:  6.281974792480469 seconds
Processing Time for 2022/09/16/1800H:  13.235143661499023 seconds
Processing Time for 2022/09/16/1900H:  10.825244188308716 seconds
Processing Time for 2022/09/16/2000H:  10.061774015426636 seconds
Processing Time for 2022/09/16/2100H:  3.5593934059143066 seconds
Processing Time for 2022/09/16/2200H:  2.574892520904541 seconds
Processing Time for 2022/09/16/2300H:  0.8597803115844727 seconds
Processing Time for 2022/09/17/0000H:  0.7871997356414795 seconds
Processing Time for 2022/09/17/0100H:  0.2816505432128906 seconds
Processing Time for 2022/09/17/0200H:  0.4253723621368408 seconds
Processing Time for 2022/09/17/0300H:  0.3134431838989258 seconds
Processing Time for 2022/09/17/0400H:  0.6670634746551514 seconds
Processing Time for 2022/09/17/0500H:  1.8994731903076172 seconds
Processing Time for 2022/09/17/0600H:  3.316629648208618 seconds
Processing Time for 2022/09/17/0700H:  7.661466598510742 seconds
Processing Time for 2022/09/17/0800H:  6.2277913093566895 seconds
Processing Time for 2022/09/17/0900H:  20.025238037109375 seconds
Processing Time for 2022/09/17/1000H:  19.432188510894775 seconds
Processing Time for 2022/09/17/1100H:  10.558611154556274 seconds
Processing Time for 2022/09/17/1200H:  20.09048557281494 seconds
Processing Time for 2022/09/17/1300H:  2.26414155960083 seconds
Processing Time for 2022/09/17/1400H:  17.001826524734497 seconds
Processing Time for 2022/09/17/1500H:  10.080197095870972 seconds
Processing Time for 2022/09/17/1600H:  14.843226671218872 seconds
Processing Time for 2022/09/17/1700H:  8.458911180496216 seconds
Processing Time for 2022/09/17/1800H:  18.12345242500305 seconds
Processing Time for 2022/09/17/1900H:  14.842315673828125 seconds
Processing Time for 2022/09/17/2000H:  14.303849220275879 seconds
Processing Time for 2022/09/17/2100H:  5.8008153438568115 seconds
Processing Time for 2022/09/17/2200H:  2.1430718898773193 seconds
Processing Time for 2022/09/17/2300H:  0.5614268779754639 seconds
Processing Time for 2022/09/18/0000H:  0.48246288299560547 seconds
Processing Time for 2022/09/18/0100H:  0.3603067398071289 seconds
Processing Time for 2022/09/18/0200H:  0.5786957740783691 seconds
Processing Time for 2022/09/18/0300H:  0.15582942962646484 seconds
Processing Time for 2022/09/18/0400H:  0.3529515266418457 seconds
Processing Time for 2022/09/18/0500H:  1.8967576026916504 seconds
Processing Time for 2022/09/18/0600H:  3.300715684890747 seconds
Processing Time for 2022/09/18/0700H:  6.842764854431152 seconds
Processing Time for 2022/09/18/0800H:  4.299925327301025 seconds
Processing Time for 2022/09/18/0900H:  12.794168949127197 seconds
Processing Time for 2022/09/18/1000H:  11.166459798812866 seconds
Processing Time for 2022/09/18/1100H:  7.386944532394409 seconds
Processing Time for 2022/09/18/1200H:  12.561856269836426 seconds
Processing Time for 2022/09/18/1300H:  1.698803186416626 seconds
Processing Time for 2022/09/18/1400H:  11.353647947311401 seconds
Processing Time for 2022/09/18/1500H:  7.578409433364868 seconds
Processing Time for 2022/09/18/1600H:  9.693114042282104 seconds
Processing Time for 2022/09/18/1700H:  5.806225776672363 seconds
Processing Time for 2022/09/18/1800H:  13.197413682937622 seconds
Processing Time for 2022/09/18/1900H:  10.869698524475098 seconds
Processing Time for 2022/09/18/2000H:  17.073651552200317 seconds
Processing Time for 2022/09/18/2100H:  7.475802421569824 seconds
Processing Time for 2022/09/18/2200H:  3.4047789573669434 seconds
Processing Time for 2022/09/18/2300H:  0.8065166473388672 seconds
Processing Time for 2022/09/19/0000H:  1.4294357299804688 seconds
Processing Time for 2022/09/19/0100H:  0.7352256774902344 seconds
Processing Time for 2022/09/19/0200H:  0.7942187786102295 seconds
Processing Time for 2022/09/19/0300H:  0.30216121673583984 seconds
Processing Time for 2022/09/19/0400H:  0.5424056053161621 seconds
Processing Time for 2022/09/19/0500H:  2.825174331665039 seconds
Processing Time for 2022/09/19/0600H:  4.742196798324585 seconds
Processing Time for 2022/09/19/0700H:  11.8536217212677 seconds
Processing Time for 2022/09/19/0800H:  7.035828113555908 seconds
Processing Time for 2022/09/19/0900H:  21.33565044403076 seconds
Processing Time for 2022/09/19/1000H:  19.734270811080933 seconds
Processing Time for 2022/09/19/1100H:  11.229607582092285 seconds
Processing Time for 2022/09/19/1200H:  21.60508394241333 seconds
Processing Time for 2022/09/19/1300H:  4.201237440109253 seconds
Processing Time for 2022/09/19/1400H:  16.648269176483154 seconds
Processing Time for 2022/09/19/1500H:  11.638653755187988 seconds
Processing Time for 2022/09/19/1600H:  13.4440176486969 seconds
Processing Time for 2022/09/19/1700H:  4.295624017715454 seconds
Processing Time for 2022/09/19/1800H:  12.51599645614624 seconds
Processing Time for 2022/09/19/1900H:  11.055857419967651 seconds
Processing Time for 2022/09/19/2000H:  10.827103853225708 seconds
Processing Time for 2022/09/19/2100H:  4.835554599761963 seconds
Processing Time for 2022/09/19/2200H:  3.48888897895813 seconds
Processing Time for 2022/09/19/2300H:  0.7232217788696289 seconds
Processing Time for 2022/09/20/0000H:  0.4566152095794678 seconds
Processing Time for 2022/09/20/0100H:  0.321392297744751 seconds
Processing Time for 2022/09/20/0200H:  0.6883132457733154 seconds
Processing Time for 2022/09/20/0300H:  0.1539933681488037 seconds
Processing Time for 2022/09/20/0400H:  0.47701382637023926 seconds
Processing Time for 2022/09/20/0500H:  1.5896401405334473 seconds
Processing Time for 2022/09/20/0600H:  4.210583209991455 seconds
Processing Time for 2022/09/20/0700H:  8.113991498947144 seconds
Processing Time for 2022/09/20/0800H:  4.697407960891724 seconds
Processing Time for 2022/09/20/0900H:  12.523868083953857 seconds
Processing Time for 2022/09/20/1000H:  11.79619550704956 seconds
Processing Time for 2022/09/20/1100H:  5.8340818881988525 seconds
Processing Time for 2022/09/20/1200H:  11.650333166122437 seconds
Processing Time for 2022/09/20/1300H:  2.0185840129852295 seconds
Processing Time for 2022/09/20/1400H:  13.418713092803955 seconds
Processing Time for 2022/09/20/1500H:  8.906532287597656 seconds
Processing Time for 2022/09/20/1600H:  13.444787502288818 seconds
Processing Time for 2022/09/20/1700H:  5.938186168670654 seconds
Processing Time for 2022/09/20/1800H:  19.31866192817688 seconds
Processing Time for 2022/09/20/1900H:  16.234154224395752 seconds
Processing Time for 2022/09/20/2000H:  15.616666316986084 seconds
Processing Time for 2022/09/20/2100H:  6.47829794883728 seconds
Processing Time for 2022/09/20/2200H:  4.926041126251221 seconds
Processing Time for 2022/09/20/2300H:  0.8304624557495117 seconds
Processing Time for 2022/09/21/0000H:  0.7669217586517334 seconds
Processing Time for 2022/09/21/0100H:  0.27456188201904297 seconds
Processing Time for 2022/09/21/0200H:  0.6520977020263672 seconds
Processing Time for 2022/09/21/0300H:  0.27521753311157227 seconds
Processing Time for 2022/09/21/0400H:  0.8285436630249023 seconds
Processing Time for 2022/09/21/0500H:  3.866608142852783 seconds
Processing Time for 2022/09/21/0600H:  6.413149356842041 seconds
Processing Time for 2022/09/21/0700H:  13.213945388793945 seconds
Processing Time for 2022/09/21/0800H:  6.819214105606079 seconds
Processing Time for 2022/09/21/0900H:  20.181448459625244 seconds
Processing Time for 2022/09/21/1000H:  18.381804704666138 seconds
Processing Time for 2022/09/21/1100H:  11.142728090286255 seconds
Processing Time for 2022/09/21/1200H:  13.095699787139893 seconds
Processing Time for 2022/09/21/1300H:  1.8235931396484375 seconds
Processing Time for 2022/09/21/1400H:  9.920851707458496 seconds
Processing Time for 2022/09/21/1500H:  6.445284366607666 seconds
Processing Time for 2022/09/21/1600H:  9.670166730880737 seconds
Processing Time for 2022/09/21/1700H:  4.212269306182861 seconds
Processing Time for 2022/09/21/1800H:  12.583596229553223 seconds
Processing Time for 2022/09/21/1900H:  13.195638418197632 seconds
Processing Time for 2022/09/21/2000H:  10.704185247421265 seconds
Processing Time for 2022/09/21/2100H:  3.6840598583221436 seconds
Processing Time for 2022/09/21/2200H:  2.8694870471954346 seconds
Processing Time for 2022/09/21/2300H:  0.8134844303131104 seconds
Processing Time for 2022/09/22/0000H:  0.5960900783538818 seconds
Processing Time for 2022/09/22/0100H:  0.16299843788146973 seconds
Processing Time for 2022/09/22/0200H:  0.492311954498291 seconds
Processing Time for 2022/09/22/0300H:  0.16820144653320312 seconds
Processing Time for 2022/09/22/0400H:  0.2733480930328369 seconds
Processing Time for 2022/09/22/0500H:  1.67641282081604 seconds
Processing Time for 2022/09/22/0600H:  4.057768821716309 seconds
Processing Time for 2022/09/22/0700H:  8.480229616165161 seconds
Processing Time for 2022/09/22/0800H:  4.837690830230713 seconds
Processing Time for 2022/09/22/0900H:  16.457632541656494 seconds
Processing Time for 2022/09/22/1000H:  20.493415355682373 seconds
Processing Time for 2022/09/22/1100H:  11.79915452003479 seconds
Processing Time for 2022/09/22/1200H:  21.16832208633423 seconds
Processing Time for 2022/09/22/1300H:  5.797847509384155 seconds
Processing Time for 2022/09/22/1400H:  19.41053295135498 seconds
Processing Time for 2022/09/22/1500H:  11.850708961486816 seconds
Processing Time for 2022/09/22/1600H:  15.227406024932861 seconds
Processing Time for 2022/09/22/1700H:  8.101577043533325 seconds
Processing Time for 2022/09/22/1800H:  21.815006971359253 seconds
Processing Time for 2022/09/22/1900H:  20.594375371932983 seconds
Processing Time for 2022/09/22/2000H:  15.894004344940186 seconds
Processing Time for 2022/09/22/2100H:  4.74797511100769 seconds
Processing Time for 2022/09/22/2200H:  3.773237943649292 seconds
Processing Time for 2022/09/22/2300H:  0.8482599258422852 seconds
Processing Time for 2022/09/23/0000H:  1.1762316226959229 seconds
Processing Time for 2022/09/23/0100H:  0.6894714832305908 seconds
Processing Time for 2022/09/23/0200H:  0.6531352996826172 seconds
Processing Time for 2022/09/23/0300H:  0.1579587459564209 seconds
Processing Time for 2022/09/23/0400H:  0.4414668083190918 seconds
Processing Time for 2022/09/23/0500H:  1.649864673614502 seconds
Processing Time for 2022/09/23/0600H:  3.8466925621032715 seconds
Processing Time for 2022/09/23/0700H:  7.9957685470581055 seconds
Processing Time for 2022/09/23/0800H:  5.132228851318359 seconds
Processing Time for 2022/09/23/0900H:  12.506781578063965 seconds
Processing Time for 2022/09/23/1000H:  12.15154242515564 seconds
Processing Time for 2022/09/23/1100H:  6.621204853057861 seconds
Processing Time for 2022/09/23/1200H:  13.600356101989746 seconds
Processing Time for 2022/09/23/1300H:  2.4705753326416016 seconds
Processing Time for 2022/09/23/1400H:  10.44983696937561 seconds
Processing Time for 2022/09/23/1500H:  6.6495983600616455 seconds
Processing Time for 2022/09/23/1600H:  9.383252620697021 seconds
Processing Time for 2022/09/23/1700H:  5.419358015060425 seconds
Processing Time for 2022/09/23/1800H:  17.149661540985107 seconds
Processing Time for 2022/09/23/1900H:  18.369874954223633 seconds
Processing Time for 2022/09/23/2000H:  18.22718048095703 seconds
Processing Time for 2022/09/23/2100H:  8.993262767791748 seconds
Processing Time for 2022/09/23/2200H:  4.615203380584717 seconds
Processing Time for 2022/09/23/2300H:  2.2580485343933105 seconds
Processing Time for 2022/09/24/0000H:  1.0371122360229492 seconds
Processing Time for 2022/09/24/0100H:  0.7615668773651123 seconds
Processing Time for 2022/09/24/0200H:  1.4782090187072754 seconds
Processing Time for 2022/09/24/0300H:  0.8162975311279297 seconds
Processing Time for 2022/09/24/0400H:  0.7364625930786133 seconds
Processing Time for 2022/09/24/0500H:  3.253730297088623 seconds
Processing Time for 2022/09/24/0600H:  6.152554512023926 seconds
Processing Time for 2022/09/24/0700H:  13.11125373840332 seconds
Processing Time for 2022/09/24/0800H:  7.833513259887695 seconds
Processing Time for 2022/09/24/0900H:  21.20975637435913 seconds
Processing Time for 2022/09/24/1000H:  20.957345247268677 seconds
Processing Time for 2022/09/24/1100H:  11.201160192489624 seconds
Processing Time for 2022/09/24/1200H:  21.975290536880493 seconds
Processing Time for 2022/09/24/1300H:  1.9596471786499023 seconds
Processing Time for 2022/09/24/1400H:  12.150027513504028 seconds
Processing Time for 2022/09/24/1500H:  5.70274543762207 seconds
Processing Time for 2022/09/24/1600H:  7.923651218414307 seconds
Processing Time for 2022/09/24/1700H:  5.361747741699219 seconds
Processing Time for 2022/09/24/1800H:  11.217726945877075 seconds
Processing Time for 2022/09/24/1900H:  8.065535068511963 seconds
Processing Time for 2022/09/24/2000H:  8.981196880340576 seconds
Processing Time for 2022/09/24/2100H:  3.6245226860046387 seconds
Processing Time for 2022/09/24/2200H:  1.994469165802002 seconds
Processing Time for 2022/09/24/2300H:  0.6263270378112793 seconds
Processing Time for 2022/09/25/0000H:  0.5793359279632568 seconds
Processing Time for 2022/09/25/0100H:  0.4481511116027832 seconds
Processing Time for 2022/09/25/0200H:  0.5794110298156738 seconds
Processing Time for 2022/09/25/0300H:  0.28773045539855957 seconds
Processing Time for 2022/09/25/0400H:  0.47084975242614746 seconds
Processing Time for 2022/09/25/0500H:  1.8674476146697998 seconds
Processing Time for 2022/09/25/0600H:  3.2255990505218506 seconds
Processing Time for 2022/09/25/0700H:  8.26025915145874 seconds
Processing Time for 2022/09/25/0800H:  4.8681793212890625 seconds
Processing Time for 2022/09/25/0900H:  12.926571130752563 seconds
Processing Time for 2022/09/25/1000H:  12.792967557907104 seconds
Processing Time for 2022/09/25/1100H:  6.278282880783081 seconds
Processing Time for 2022/09/25/1200H:  12.710997819900513 seconds
Processing Time for 2022/09/25/1300H:  3.5037670135498047 seconds
Processing Time for 2022/09/25/1400H:  17.599703550338745 seconds
Processing Time for 2022/09/25/1500H:  9.646255493164062 seconds
Processing Time for 2022/09/25/1600H:  15.66274356842041 seconds
Processing Time for 2022/09/25/1700H:  8.649509191513062 seconds
Processing Time for 2022/09/25/1800H:  19.543575763702393 seconds
Processing Time for 2022/09/25/1900H:  17.104900121688843 seconds
Processing Time for 2022/09/25/2000H:  15.94431757926941 seconds
Processing Time for 2022/09/25/2100H:  6.5587897300720215 seconds
Processing Time for 2022/09/25/2200H:  4.236941576004028 seconds
Processing Time for 2022/09/25/2300H:  1.457921028137207 seconds
Processing Time for 2022/09/26/0000H:  1.0495481491088867 seconds
Processing Time for 2022/09/26/0100H:  1.2210817337036133 seconds
Processing Time for 2022/09/26/0200H:  1.087172031402588 seconds
Processing Time for 2022/09/26/0300H:  0.26126885414123535 seconds
Processing Time for 2022/09/26/0400H:  0.4872314929962158 seconds
Processing Time for 2022/09/26/0500H:  2.816847562789917 seconds
Processing Time for 2022/09/26/0600H:  5.335211992263794 seconds
Processing Time for 2022/09/26/0700H:  13.606396198272705 seconds
Processing Time for 2022/09/26/0800H:  8.003823041915894 seconds
Processing Time for 2022/09/26/0900H:  20.47494339942932 seconds
Processing Time for 2022/09/26/1000H:  13.09135127067566 seconds
Processing Time for 2022/09/26/1100H:  7.032437324523926 seconds
Processing Time for 2022/09/26/1200H:  13.278213500976562 seconds
Processing Time for 2022/09/26/1300H:  2.0904176235198975 seconds
